商品名称,型号,类别,规格,长宽高,材质,标价,折扣价,库存,PRO,PRO特性
现代沙发A,SF-001,sofa,单人位,200*90*85,布艺,3999,2999,100,否,
现代沙发A,SF-002,sofa,双人位,250*90*85,布艺,4999,3999,80,否,
现代沙发A,SF-003,sofa,三人位,300*90*85,布艺,5999,4999,60,是,升级版高密度海绵
北欧床,BED-001,bed,1.5米,150*200*45,实木,2999,2499,50,否,
北欧床,BED-002,bed,1.8米,180*200*45,实木,3499,2999,40,是,加厚床板
简约餐桌,TABLE-001,table,四人位,120*80*75,实木,1999,,30,否,
办公桌,DESK-001,desk,单人,120*60*75,钢木,899,699,100,否,
人体工学椅,CHAIR-001,chair,标准款,60*60*120,网布,599,499,200,否,
墙面装饰画,DECO-001,decoration,50x70cm,50*70*2,画框,299,,50,否,

